Lithuania,..,34,42.7,61.6,65.3,69.2,71.9,74.4,77,78.6,80.4,83.7,86.7,,440
Luxembourg,22,26.7,35.6,41.2,46.5,47.7,47.5,49.3,51.4,53.4,54.7,55.5,57,,442
Madagascar,19.2,18.9,22.8,25.5,29.3,29.7,30.6,31.3,32.4,33.4,34.8,36.3,38.1,,450
Malawi,7,8.1,9.9,11,15.7,16.4,16.7,17.6,18.6,19.1,19.6,20.4,21.1,,454
Malaysia,190.3,299.3,378.2,476.7,593.4,624.8,659,689.9,731.4,768.6,801.1,848.3,888.4,,458
Maldives,..,2,2.7,3,4.4,4.8,4.9,5.2,5.6,5.8,6.2,6.6,7,,462
Mali,10.8,12.6,16,22.5,28.2,29.1,28.9,29.6,31.6,33.5,35.5,37.4,39.2,,466
Malta,5.7,7.5,9.6,10.6,11.7,11.9,12.2,12.8,13.9,15.3,16.2,17.3,18.4,,470
Marshall Islands,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,584
Mauritania,5.7,6.7,7.5,9.3,12,12.5,13.3,14.1,14.9,15.1,15.4,15.8,16.4,,478
Mauritius,8,10.2,13.4,15.8,19.9,20.7,21.5,22.2,23,23.8,24.8,25.7,26.7,,480
Mexico,1139.9,1233.1,1595.3,1712.9,1843.8,1911.3,1980.9,2007.8,2064.1,2131.9,2194.2,2239.6,2284.3,,484
Micronesia (Federated States of),0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,,583
Mongolia,11.2,9.8,11.2,15.3,20.9,24.5,27.5,30.8,33.2,34,34.4,36.2,38.7,,496
Montenegro,..,..,6.3,7.2,8.7,9,8.7,9,9.2,9.5,9.8,10.3,10.8,,499
Morocco,98.2,107,130.8,166,211.9,223,229.7,240.2,246.6,257.8,260.7,271.3,279.3,,504
Mozambique,5,5.9,10.1,15.5,22.2,23.8,25.5,27.3,29.4,31.3,32.5,33.7,34.8,,508
