Indonesia,3638,3201,3806,5343,5663,5991,6153,6300,6833,6997,7353,7673, a,360
Iran (Islamic Republic of),2317,3280,5068,5568,5487,4910,4707,4712,4961,6062,6165,5809, a,364
Iraq,1029,2166,2375,3166,3232,3549,3639,3563,3540,3923,3754,3712, a,368
Ireland,14920,22984,28411,28563,28836,28632,30411,32817,36395,40779,42534,44917, a,372
Israel,16602,18719,20232,20877,21685,21676,22723,23452,23796,23760,24032,24617, a,376
Italy,19365,22536,24415,25977,26241,25847,24699,24694,24618,25297,26009,26473, a,380
Jamaica,6046,5533,5832,5999,6103,6164,6153,6151,6110,6144,6274,6326, a,388
Japan,21638,22743,24495,23821,24200,24718,25810,26380,26960,27447,28389,28781, a,392
Jordan,1457,1711,2058,2812,2770,2668,2505,2471,2448,2700,2713,2734, a,400
Kazakhstan,6998,7090,10957,13428,13878,14817,16233,16182,17236,16399,16382,16491, a,398
Kenya,1748,1737,1740,2020,2101,2138,2201,2265,2354,2457,2520,2619, a,404
Kuwait,48503,43795,53496,48287,50616,52935,52005,51641,50253,51183,50194,49075, a,414
Kyrgyzstan,1217,1421,1597,1769,1780,1857,1912,1991,2088,2067,2121,2192, a,417
Lao People's Democratic Republic,1755,2076,2629,3152,3321,3585,3844,4118,4357,4584,4769,5027, a,418
Latvia,6311,8466,13274,15476,16366,17181,17801,18143,18806,19677,20632,21857, a,428
Lebanon,3731,4031,3605,5683,5563,5417,5229,5003,4844,4798,4861,4668, a,422
Lesotho,1604,1676,1948,2471,2466,2519,2517,2528,2614,2724,2633,2641, a,426
Liberia,204,993,721,1007,1082,1099,1171,1153,1141,1097,1095,1051, a,430
Libya,5540,6192,7876,10744,4564,9299,4742,3909,3831,3751,4580,4866, a,434
Lithuania,7055,9531,14327,17894,18937,20174,20832,22066,22233,23103,24432,25667, a,440
Luxembourg,39151,52078,59206,54237,51063,50385,48832,50995,49110,49614,52288,53010, a,442
Madagascar,1113,1182,1142,1105,1087,1072,1062,1065,1051,1065,1094,1119, a,450
Malawi,685,735,715,896,910,844,854,882,883,901,918,925, a,454
Malaysia,8414,9020,10522,14205,15104,15777,16886,17813,18741,19354,20259,20821, a,458
Maldives,3318,5338,4966,6093,6495,6488,6705,7026,6834,6931,7137,7453, a,462
Mali,959,1078,1259,1364,1097,1048,1052,1095,1210,1269,1311,1311, a,466
Malta,8967,11973,12689,15238,16168,17056,19202,21014,22672,22942,24060,25026, a,470
Mauritania,1298,1380,1556,1759,1759,1802,1876,1924,1930,1945,1982,2018, a,478
Mauritius,4860,6223,7460,9031,9273,10217,11707,12180,12838,12905,13743,14261, a,480
Mexico,6907,8869,9460,10061,10403,10704,10624,10718,10937,11094,11166,11253, a,484
Mongolia,3203,4027,4904,5852,6507,7636,7885,9361,9357,9228,8863,9666, a,496
Montenegro,..,7833,8540,10661,11340,10980,11468,12532,13150,13178,13859,14457, a,499
Morocco,1448,1767,2291,2803,2899,2883,2990,2947,3000,2942,2963,3012, a,504
Mozambique,340,510,655,838,886,928,963,993,1014,1019,1020,1031, a,508
Myanmar,639,894,1526,2556,2673,2726,2950,3125,3137,3278,3414,3613, a,104
Namibia,4672,4942,5926,7009,7352,7505,8415,9044,9272,9330,8983,8917, a,516
Nepal,1092,1076,1306,1598,1642,1716,1775,1882,1924,1912,2030,2113, a,524
Netherlands,24227,31823,34300,36913,37970,37626,37328,36931,37843,37966,39688,40572, a,528
New Zealand,17585,19967,23004,22713,23242,23869,24368,24957,25671,26302,26398,26757, a,554
Nicaragua,1245,1701,2155,2197,2314,2436,2534,3987,4144,4303,4476,4277, a,558
Niger,582,559,563,..,..,104,104,109,109,110,111,112, a,562
Nigeria,2074,2066,2822,3969,4103,4208,4407,4643,4687,4511,4404,4313, a,566
Norway,38399,44906,50499,55320,55363,56291,56429,58286,58809,58981,59813,60283, a,578
Oman,9164,13399,13262,14225,12897,12979,12832,12041,12356,12414,11733,11435, a,512
Pakistan,658,629,913,1262,1268,1299,1318,1323,1456,1479,1513,1570, a,586
Panama,6105,7232,7987,10245,11379,12788,12951,13413,14267,15001,15800,16107, a,591
Papua New Guinea,2386,2073,2050,2496,2519,2579,2483,3053,3300,3362,3323,3248, a,598
Paraguay,5236,4087,4589,6081,6685,6797,7202,7294,7624,7711,8088,8326, a,600
Peru,3894,4029,4718,6463,6891,7361,7871,8158,8155,8549,8587,8840, a,604
Philippines,3008,3679,4391,5240,5308,5575,5953,6232,6454,7039,7203,7541, a,608
Poland,8359,11088,12532,16683,17505,17825,17801,18375,19096,19868,20731,21877, a,616
Portugal,15828,18898,21081,22354,21597,21037,21043,21302,21835,22411,23163,23628, a,620
Qatar,27886,45709,36864,41815,48151,51747,54095,55653,57751,59420,58668,57196, a,634
Romania,8061,8006,11247,13699,14103,14586,15241,16265,16533,17137,18656,19488, a,642
Russian Federation,9777,10738,15014,18251,19024,19637,19783,19575,19163,19224,19521,19968, a,643
Rwanda,591,686,909,1248,1258,1331,1355,1416,1502,1552,1611,1708, a,646
Saint Lucia,6059,6650,7112,8685,9384,9073,9000,8561,8221,8761,9244,9086, a,662
Saint Vincent and the Grenadines,4002,4501,6011,6965,7274,7326,7296,7689,8227,8491,8480,8615, a,670
Samoa,1819,2257,3054,3713,3868,3761,3656,3570,3663,3892,3948,3955, a,882
Sao Tome and Principe,942,985,1265,1633,1608,1612,1755,1787,1808,1882,1929,1885, a,678
Saudi Arabia,9243,10299,13991,14358,16880,18254,17652,18248,18180,18762,18196,18169, a,682
Senegal,1104,1270,1477,1699,1688,1749,1772,1859,1944,2003,2091,2172, a,686
Serbia,5191,5628,7576,11024,10812,10602,11220,10903,11081,11528,11772,12551, a,688
Sierra Leone,758,756,895,1089,1103,1301,1480,1490,1163,1097,1220,1238, a,694
Singapore,29558,34833,40351,54468,63557,64012,65753,68933,69393,70026,72553,74594, a,702
Slovakia,9760,11639,14549,18461,18232,18936,19753,20110,21057,22014,22784,23684, a,703
Slovenia,14176,17326,23681,24905,25167,24516,23538,24492,24886,26081,27557,28833, a,705
Solomon Islands,1091,1344,1255,1065,1152,1431,1522,1527,1568,1532,1525,1569, a,90
South Africa,6414,7133,7981,8818,9041,9240,9294,9323,9204,9082,9123,9036, a,710
South Sudan,..,..,..,2089,2058,1935,2060,2011,1831,1476,1331,1277, a,728
Spain,15336,19245,22545,24192,24114,23689,23658,23986,25237,26729,27374,28085, a,724
Sri Lanka,2366,2938,3688,4678,5134,5366,5754,6037,6400,6386,6619,6766, a,144
Sudan,807,929,1025,1290,1455,1583,1143,1623,1699,1757,1820,1759, a,729
Suriname,5166,5267,7012,9130,9321,9732,10156,10171,9722,8519,7752,7953, a,740
Sweden,25225,29658,33562,36632,37279,38450,38628,39261,40332,40739,41396,41923, a,752
Switzerland,33472,39563,43361,45863,44212,47458,47947,47478,48627,48276,47481,49279, a,756
Syrian Arab Republic,1622,1481,1474,1551,1449,1132,865,684,634,614,642,657, a,760
Tajikistan,806,759,1124,878,918,952,999,969,947,964,984,1044, a,762
Thailand,6976,6913,8444,10895,11675,12206,12302,12342,12811,13308,13817,14320, a,764
Timor-Leste,3066,2764,955,5268,5175,3039,2978,2710,3984,6049,5372,5389, a,626
Togo,975,1057,990,990,1060,1058,1099,1139,1158,1164,1178,1200, a,768
Tonga,2709,2783,3266,3444,3540,3601,3410,3442,3589,3844,3952,3816, a,776
Trinidad and Tobago,7420,10758,17544,23133,21429,22127,23467,22934,24225,22620,22415,22266, a,780
Tunisia,2231,2910,3539,4485,4316,4544,4630,4734,4734,4717,4702,4737, a,788
Turkey,5704,6006,6638,10245,11481,12095,13009,13385,14252,14728,15796,15920, a,792
Turkmenistan,3218,3493,4230,6595,7320,7997,8710,9376,10135,10937,11263,11745, a,795
Uganda,708,824,971,1117,1187,1190,1187,1210,1237,1252,1253,1273, a,800
Ukraine,3941,3445,5317,6010,6113,6242,6292,6178,5605,5769,5822,6063, a,804
United Arab Emirates,28376,31054,29495,18427,18951,19400,20320,21139,22366,23284,23975,24212, a,784
Uruguay,7633,9041,9015,11850,12691,12668,13260,13597,13982,14698,14858,14902, a,858
Uzbekistan,1566,1742,2170,3185,3378,3615,3878,4033,4161,4308,4464,4657, a,860
Vanuatu,1780,1973,1786,2214,2200,2118,2207,2196,2084,2125,2192,2185, a,548
Venezuela (Bolivarian Republic of),9264,9010,9617,12756,12778,13288,13270,12977,11398,9339,7827,6655, a,862
Viet Nam,1601,2240,3034,3766,3958,4216,4429,4634,4910,5200,5455,5739, a,704
Yemen,552,970,842,808,761,592,467,411,328,238,182,168, a,887
Zambia,1534,1636,1858,2580,2695,2921,2896,3015,3024,3035,2985,3011, a,894
Zimbabwe,2003,2143,1484,1443,1590,1845,1915,1933,1905,1922,1986,2280, a,716
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,,20
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,,28
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,,212
Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,,583
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,,308
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,,296
Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,,659
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,,438
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,,584
Palau,..,..,..,..,..,..,..,..,..,..,..,..,,585
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,,690
United Kingdom,19788,24606,29174,25169,25464,25564,25686,26358,27230,27551,28294,28525, a,826
United States,29652,34938,38255,39951,40302,40766,41145,41918,42658,42986,43866,44462, a,840
