Netherlands,47057,53937,52291,55699,56656,55962,55535,55440,56215,56148,58392,59537, a,528
New Zealand,30642,33512,37175,38862,39549,40234,40954,41709,42575,43051,43218,43743, a,554
Nicaragua,4017,4878,5146,5563,5832,6108,6315,5152,5289,5432,5590,5318, a,558
Niger,949,941,960,..,..,1581,1592,1655,1655,1669,1684,1705, a,562
Nigeria,3659,3577,4796,5600,5727,5807,6013,6324,6372,6140,5981,5838, a,566
Norway,60959,69954,76723,70672,70075,70712,70654,72509,74252,74389,75111,75688, a;b,578
Oman,57952,66607,61632,61845,55979,56150,55194,51727,52962,53027,50668,50238, a,512
Pakistan,5887,5917,6777,7017,7113,7243,7416,7670,7812,8109,8353,8604, a,586
Panama,11760,13174,14371,18080,20752,21644,22840,22525,22977,23400,24313,24787, a,591
Papua New Guinea,3219,2821,2814,3199,3230,3302,3171,3869,4160,4240,4188,4106, a,598
Paraguay,10348,9833,9252,12361,12547,11924,12882,13549,13568,14022,14659,15001, a,600
Peru,8001,8638,9550,12272,12813,13659,14490,14665,15413,15411,15435,15853, a,604
Philippines,5178,6247,6944,8208,8297,8756,9295,9637,10103,10343,11042,11518, a,608
Poland,14070,18460,21535,25582,26850,27188,28055,28843,29975,30541,31975,33738, a,616
Portugal,28679,32608,31633,30636,31373,29737,30012,30305,30334,31179,32130,32737, a,620
Qatar,101023,129495,129156,130152,134271,131020,129869,129252,131891,131347,130648,127778, a;b,634
Romania,12791,12835,16962,20924,21320,21704,22259,23033,23978,25428,27227,28567, a,642
Russian Federation,16429,17400,23766,27729,28883,29888,30341,30129,29673,29739,30207,30905, a,643
Rwanda,803,911,1202,1530,1660,1753,1782,1860,1967,2026,2095,2218, a,646
Saint Lucia,12081,12386,12106,14075,14456,14258,14081,13081,12808,13595,14025,14045, a,662
Saint Vincent and the Grenadines,8757,9853,11588,12598,12182,12644,12590,13275,14648,14083,14091,14780, a,670
Samoa,4289,5303,6698,6672,6951,7048,6846,6956,7131,7571,7675,7685, a,882
Sao Tome and Principe,2465,2510,3061,3502,3633,3566,3715,3977,3951,4041,4074,4162, a,678
Saudi Arabia,73265,71011,71424,70525,74175,74979,75260,75569,76776,75406,72578,72325, a,682
Senegal,3267,3531,3899,3856,3759,3816,3787,3888,3978,4090,4243,4396, a,686
Serbia,9490,10335,13986,15225,16199,16068,16145,16177,16378,16731,16890,17994, a,688
Sierra Leone,1030,1007,1187,1356,1374,1621,1843,1857,1456,1360,1501,1525, a,694
Singapore,61817,68397,77029,88632,82426,83274,84833,88619,85240,86713,89648,92168, a;b,702
Slovakia,16921,19616,24622,31086,31966,32906,33297,34171,34714,35779,36683,38044, a,703
Slovenia,23116,28226,29845,31739,31705,30616,31016,31852,31410,32182,34032,35486, a,705
Solomon Islands,1852,2267,2100,1654,1814,2237,2387,2394,2482,2425,2399,2469, a,90
South Africa,11699,11930,13694,14705,14769,14676,14852,14873,14975,14810,14679,14554, a,710
South Sudan,..,..,..,2754,2704,2534,2685,2608,2360,1897,1705,1633, a,728
Spain,35036,40854,42566,40081,39096,38289,37590,38435,39549,40279,41334,42252, a,724
Sri Lanka,6432,7956,9170,12339,13224,14521,14524,15072,15504,16230,16518,16852, a,144
Sudan,2896,3418,4065,4974,5543,5943,4233,5929,6115,6236,6369,6168, a,729
Suriname,13626,13260,16220,18387,18437,19074,19573,19678,19114,17014,15417,15869, a,740
Sweden,35135,44359,50247,51777,52200,50296,50417,51065,52006,52583,53393,53975, a,752
Switzerland,61953,69371,71619,72847,69811,67608,67724,67669,69027,68189,67299,69645, a,756
Syrian Arab Republic,7525,7773,9128,10535,9981,7945,6167,4943,4651,4463,4603,4779, a,760
Tajikistan,1968,1811,2677,4497,4773,5021,5341,5256,5193,5334,5502,5881, a,762
Thailand,11414,11146,13657,15028,14812,15456,15446,15941,16199,16705,17367,18032, a,764
Timor-Leste,8225,7177,2664,10980,10712,6357,9417,8556,12491,10600,9451,9619, a,626
Togo,1340,1419,1320,1533,1673,1669,1731,1791,1926,1930,1947,1989, a,768
Tonga,5937,6332,6625,6852,7047,7179,7092,7169,7481,7514,7721,7748, a,776
Trinidad and Tobago,16486,23143,32827,36468,33783,34803,36205,35483,38247,35228,35305,34878, a,780
