Romania,79.7,22.3,13.9,20.9,48.1,49.4,46.8,41.8,37.9,37.5,33.9,32.9,32.9,642
Russian Federation,..,..,..,..,..,..,..,..,47.9,51.7,58.8,58.6,53.9,643
Rwanda,17.1,13,12.5,7.3,8.4,9.2,13.4,12.5,17.3,19.2,18.9,19,19.6,646
Saint Kitts and Nevis,57.2,72.2,95.8,106.6,115.5,105,101.2,59.4,75.4,46.3,42.8,43.2,37.7,659
Saint Lucia,45,54.7,66.4,72.7,99.6,99.9,111.2,111,98.5,85.2,76.8,70,67.2,662
Saint Vincent and the Grenadines,40.7,52.7,64.2,54.7,54.9,57.6,58.4,57.5,58,58.1,55.1,56.4,55.1,670
Samoa,0,9.1,18.3,31.8,63.4,62,60.3,66.5,74.7,74.3,79,78.7,76.5,882
Sao Tome and Principe,..,..,..,4,38.4,40.4,36.4,30.2,25.6,23.6,22.3,24.2,25.4,678
Saudi Arabia,12.8,30.4,34.5,28.8,-0.1,-4.1,-10.2,-7.9,1.8,20.5,34.1,38.8,..,682
Senegal,26.6,17.5,18.6,16.4,26.5,28.1,27.8,31.3,32,33.7,36.3,37.6,35.4,686
Serbia,..,..,58.3,26.6,53,50.3,53.9,46.6,49.2,51.1,52.4,50.9,51.5,688
Seychelles,42.3,72.1,110.1,102.7,49.6,43.9,36.5,37.6,35.2,35.6,40.2,44,41.1,690
Sierra Leone,36.3,64.8,54.4,18.3,17.3,16.3,14,12.2,14.5,18.6,21.8,21.9,23.2,694
Singapore,58.6,59.2,76.5,61,79.6,87.1,93.3,109.1,123.5,115.1,126.2,134.8,136.6,702
Slovakia,..,..,..,..,64.6,65.9,63,62,65.2,73.5,77.8,79.3,79.4,703
Slovenia,..,..,..,64.4,96,92.4,92.6,82.9,68.1,70.8,71.1,68.5,64.2,705
Solomon Islands,23.8,24.7,26.5,29.4,26.8,13.4,11.3,19.7,21.9,24.4,29.2,28.1,27.9,90
South Africa,94.8,135.7,148.6,178.2,185.5,171.5,181.2,181.9,185.1,176.4,176.4,180.4,..,710
South Sudan,..,..,..,..,..,-6.1,6.4,9.6,22.6,32.7,46.5,..,..,728
Spain,..,..,..,155.6,241,248.9,245.6,223.6,211.2,193.6,187.4,178.1,166.6,724
Sri Lanka,38,40.9,43.7,43.5,35.5,53.6,54.2,57.5,60.9,68.3,71.3,..,..,144
Sudan,21.7,5,8.9,13.5,22,23.7,25,22.1,18.8,18.1,22.5,23.3,31.1,729
Suriname,109.2,4.7,31.7,27.5,26.9,23.4,25.6,32.4,38.7,54.4,52.8,52.2,45.2,740
Sweden,62.2,44.3,46.2,117,146.7,152.3,156.4,149.1,156.5,150.8,155.2,165.8,154.7,752
Switzerland,158.4,164.5,158,161.3,172.8,174.8,182.3,172.7,174,174.8,179.3,..,..,756
Syrian Arab Republic,56.6,48.2,25.5,35.3,..,..,..,..,..,..,..,..,..,760
Tajikistan,..,..,17.9,13,7.6,13.8,14.6,19.5,19.8,20.8,25.2,15.7,15.6,762
Thailand,94.1,140.3,134.3,111,133.4,148.2,155.9,159.8,167.2,171.2,170.3,169.7,167,764
Timor-Leste,..,..,..,-2.5,-5.5,-4.9,-10.2,-8.3,-0.4,-4.1,-8.5,-8.6,-10.9,626
Togo,21.3,26,19.5,19.5,31.3,34.4,38.2,43.3,41.8,45.3,45.3,48.4,48.8,768
Tonga,30,31.4,38.8,48.3,39.9,29.4,26.5,28.1,29.3,33.5,34.2,32.3,31.6,776
Trinidad and Tobago,58.5,53.8,45.2,23.1,32.2,24.6,33.8,30.4,30.7,37.3,45.3,47.3,48.5,780
Tunisia,62.5,71.2,66.4,63.5,74.1,83.2,83.4,84.8,86.4,89.9,93.2,97.7,93.3,788
Turkey,19.5,27.8,37,44,68,66.7,67.1,72.9,75.3,77.5,80.6,80.8,83.3,792
Uganda,..,4.4,12.2,8.6,14.6,18.7,17.2,17.9,21.4,24.2,25.1,25.1,25.5,800
Ukraine,..,15.5,23.8,33.3,94.2,87.3,87.9,95,108.5,85.2,78.7,65.5,50.6,804
United Arab Emirates,23.2,28.9,28.9,42.7,93,82.1,76.7,82.2,82.4,103.6,109.2,102.4,91.3,784
Uruguay,46.7,32.4,50.2,38.4,31.7,29.4,31.4,35.4,35.6,36.4,35,35.1,36,858
Vanuatu,30.8,33.7,35.6,44.5,63.7,67.7,70,68.7,72.1,65.5,60.9,58,52.6,548
Venezuela (Bolivarian Republic of),37.4,35.8,14.9,12.6,22.5,33.7,48.3,61.9,..,..,..,..,..,862
Viet Nam,..,20.1,35.1,65.4,124.7,110.2,104.9,108.2,113.8,128.3,140.1,141.9,141.9,704
Yemen,51.8,41.9,5.3,6,19.5,23.4,27.1,30.1,..,..,..,..,..,887
Zambia,67.8,58.4,64,19.4,15.1,21.1,21.9,26.3,25.8,29.7,27,21.8,22.3,894
Zimbabwe,41.7,52.3,52.2,55.3,..,..,..,..,..,..,..,..,..,716
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,20
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,192
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,296
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,438
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,584
Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,585
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,795
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,860
United Kingdom,109.5,103.6,116.6,146.2,205.3,196,191.1,179.1,166.2,160.5,165.3,166.5,..,826
United States,145.6,166.2,191.6,217.3,224.7,224.8,227.2,239.1,242,235.5,240.8,249.7,235.6,840
